id,longitude,latitude
93700003,2.4205,48.920049
94100010,2.480844,48.798246
94240008,2.357486,48.775704
94537001,2.389708,48.750082
95100020,2.238638,48.932599
95110001,2.262103,48.967076
95150002,2.208733,49.015859
95260002,2.27914,49.141868
95380002,2.510852,49.047331
95520004,2.088946,49.066967
19000007,1.510557,45.164759
10400005,3.495864,48.488704
40160002,-0.944241,44.327228
43210002,4.113975,45.302807
38430002,5.575925,45.326707
10230002,4.193899,48.674401
77510002,3.230461,48.850524
13004005,5.400936,43.303396
44630001,-1.881335,47.542135
15300007,2.87447,45.113318
19250005,2.145901,45.54604
11600001,2.441505,43.288332
10000018,4.082839,48.294391
10100003,3.719958,48.511675
13008001,5.394134,43.259632
10130001,3.92384,48.045992
11000009,2.324641,43.212095
10230001,4.192932,48.66997
10000001,4.080341,48.28759
10000005,4.079098,48.282674
10000006,4.075478,48.288493
10000013,4.093202,48.305578
10000014,4.072438,48.304549
10000017,4.072438,48.304549
10000019,4.080341,48.28759
10000020,4.072438,48.304549
10100001,3.714373,48.510096
10100002,3.731302,48.509478
10120001,4.04294,48.266011
10120002,4.055926,48.272941
10120004,4.061147,48.277856
10123001,4.05244,48.281423
10130003,3.919967,48.099383
10130004,3.919967,48.099383
10140001,4.469153,48.236571
10150001,4.096965,48.3109
10150002,4.122696,48.332832
10160001,3.740317,48.216814
10170001,3.898107,48.511244
10190001,3.805304,48.270969
10200003,4.712441,48.224254
10200004,4.713763,48.23012
10210001,4.142709,48.061849
10210002,4.142388,48.059295
10250001,4.495441,47.983351
10260001,4.262743,48.150045
10260003,4.188293,48.182344
10270001,4.210486,48.214395
10270003,4.259559,48.25414
10400003,3.490827,48.485653
10270005,4.2675,48.254555
10270006,4.209874,48.213228
20090005,8.738804,41.928341
10300004,4.037545,48.291927
11600004,2.411873,43.257606
10300005,4.037545,48.291927
10340001,4.368555,47.995533
10350001,3.737402,48.407227
10400002,3.508037,48.491968
10430001,4.038201,48.263524
10430002,4.070813,48.262674
10500004,4.529498,48.393161
10600001,4.05531,48.312897
10600002,4.059964,48.293519
10600009,4.017788,48.333005
10700001,4.14478,48.536261
10700003,4.130173,48.53503
10800001,4.088349,48.268297
